site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
korea_like,KR,AF,platt,25,20,0.009395597339305714,0.00385886600938465,0.02517491955019434,16,False
korea_like,KR,AF,isotonic,25,20,0.010437114121868008,0.006464646464646465,0.018328207305915417,16,False
korea_like,KR,AF,hybrid,25,20,0.012124271067020607,0.0064636464646464645,0.03410630046419978,16,False
korea_like,KR,AF,identity,50,20,0.003940655550262558,0.0038703470310187385,0.004236798681024025,16,False
korea_like,KR,AF,prior_correction,50,20,0.006304341217174834,0.0065252854812398045,0.006530612244897959,16,False
korea_like,KR,AF,temperature,50,20,0.008375804196850987,0.0038669373935885944,0.02016319139995093,16,False
korea_like,KR,AF,platt,50,20,0.01167003860246899,0.0038725436911907826,0.02155927307086292,16,False
korea_like,KR,AF,isotonic,50,20,0.012526713414804106,0.006530612244897959,0.023503282923313776,16,False
korea_like,KR,AF,hybrid,50,20,0.01273662204592014,0.006529612244897959,0.017155912216033513,16,False
korea_like,KR,AF,identity,100,20,0.003861927709572534,0.0038812197177485767,0.004286938031386706,16,False
korea_like,KR,AF,prior_correction,100,20,0.006310903883585095,0.00625,0.006666666666666667,16,False
korea_like,KR,AF,temperature,100,20,0.0067767132664741155,0.003898185861507337,0.015267894200146232,16,False
korea_like,KR,AF,platt,100,20,0.009321056014456397,0.00586197261534673,0.021344950111688087,16,False
korea_like,KR,AF,isotonic,100,20,0.008137743105318198,0.006663890045814244,0.02174888839033968,16,False
korea_like,KR,AF,hybrid,100,20,0.007561079723919524,0.006662890045814244,0.014371139697238666,16,False
korea_like,KR,AF,identity,200,20,0.003928546889122955,0.0038616097058279727,0.0044174615052271675,16,False
korea_like,KR,AF,prior_correction,200,20,0.006128800603313037,0.00608695652173913,0.006956521739130435,16,False
korea_like,KR,AF,temperature,200,20,0.00560782426618364,0.004246970070465315,0.0106286704205525,16,False
korea_like,KR,AF,platt,200,20,0.006323483783461072,0.003960158396068745,0.012363489296362374,16,False
korea_like,KR,AF,isotonic,200,20,0.006926552786592033,0.006882377719620639,0.01230807414740838,16,False
korea_like,KR,AF,hybrid,200,20,0.007194314893286598,0.006954010109026321,0.009961356502287431,16,False
korea_like,KR,AF,identity,400,20,0.003961941507807059,0.003827746154863481,0.004705860735924724,16,False
